course,institution,url,admission req,language req,deadline
Landscape Ecology (LandEcol),University of Hohenheim • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4711/,"


","
",
Immunobiology: From Molecules to Integrative Systems,University of Bonn • Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6257/,"





","

",
Master of Science in Data Science,Freie Universität Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7066/,"












",,"
"
MSc Management,FAU Erlangen-Nürnberg • Nürnberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8959/,"



","

",
"Development, Environment, Societies, and History of South Asia",Heidelberg University • Heidelberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5215/,,"


",
MA American Studies / Amerikanistik,Humboldt-Universität zu Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8602/,,"
","

"
Medical Engineering – Specialisations: Medical Image and Data Processing | Health and Medical Data Analytics & Entrepreneurship | Medical Robotics,FAU Erlangen-Nürnberg • Erlangen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4407/,"

","

","
"
Master's in Global History,Freie Universität Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4422/,,,
EMMaH – European Master of Medical Technology and Healthcare Business (MSc),Hamburg University of Applied Sciences • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5433/,"

","

","




"
Systems and Automation – Major of Electrical Engineering and Information Technology,RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5227/,"



","

",
European Economics (MSc) – Double Degree,University of Tübingen • Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4184/,"

","







",
Information Technology (MEng),SRH University • Heidelberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4343/,,"
",
Interdisciplinary Studies of the Middle East (ISME),Freie Universität Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7688/,"




","
",
Air Transport and Logistics,Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8911/,"
",,
Global Health,University of Bonn • Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7734/,"
","
",
Population-Based Medicine,University of Tübingen • Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8295/,"




",,
Master of Science Pharmaceutical Sciences / Pharmazeutische Forschung,Freie Universität Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5299/,"
","
",
Genetics and Biology of Ageing and Regeneration,University of Cologne • Köln,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9701/,"









","
",
Master of Science in Process Engineering,Hamburg University of Applied Sciences • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6243/,"



","


","




"
Plant Breeding and Seed Science,University of Hohenheim • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8966/,"



","

",
